snapshot_time_utc,currency,instrument_name,option_type,strike,expiry_utc,dte_days,index_price,underlying_price,mark_price,mark_price_usd,mark_iv,bid_iv,ask_iv,best_bid_price,best_ask_price,best_bid_amount,best_ask_amount,last_price,open_interest,volume_24h,delta,gamma,vega,theta,rho,contract_size,tick_size
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-64000-P,put,64000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.06260876,4034.0608,38.51,,,0.0615,0.063,,,0.0725,204.8,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-23JUN26-58000-C,call,58000.0,2026-06-23T08:00:00+00:00,1.7818,64069.15,64069.15,0.0947116,6068.0917,63.25,,,0.0875,0.099,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-115000-P,put,115000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64692.92,0.77848876,50362.7111,46.83,,,0.7675,0.7915,,,0.7375,90.3,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-60000-C,call,60000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,0.06626577,4244.2908,47.94,,,0.064,0.07,,,0.0559,541.6,0.1,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-75000-C,call,75000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64692.92,0.02511755,1624.9277,36.86,,,0.0245,0.0255,,,0.0225,2136.5,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-105000-P,put,105000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.6346627,40773.3974,56.16,,,0.5795,0.696,,,0.5883,0.7,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-83000-P,put,83000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.29239395,18839.7755,36.85,,,0.247,0.345,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-23JUN26-62500-P,put,62500.0,2026-06-23T08:00:00+00:00,1.7818,64069.15,64069.15,0.00321831,206.1944,41.79,,,0.003,0.0034,,,0.0034,103.1,11.2,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-190000-C,call,190000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,0.0,0.0,125.23,,,,0.0001,,,0.0001,554.4,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-23JUN26-66000-C,call,66000.0,2026-06-23T08:00:00+00:00,1.7818,64069.15,64069.15,0.00162751,104.2732,37.14,,,0.0015,0.0018,,,0.0016,70.2,32.4,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-65000-P,put,65000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.49,0.14181992,9368.8352,43.63,,,0.1395,0.144,,,0.15,313.2,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-66000-C,call,66000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.03627073,2330.184,36.52,,,0.036,0.037,,,0.0372,403.5,13.3,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-210000-C,call,210000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.55,0.0006457,42.2027,59.11,,,0.0005,0.0009,,,0.0006,148.8,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-23JUN26-57000-P,put,57000.0,2026-06-23T08:00:00+00:00,1.7818,64069.15,64069.15,8.821e-05,5.6515,66.8,,,,0.0002,,,0.0001,27.5,2.6,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-92000-C,call,92000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.55,0.02086243,1363.559,41.04,,,0.02,0.0215,,,0.0235,231.9,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-10JUL26-55000-P,put,55000.0,2026-07-10T08:00:00+00:00,18.7818,64069.15,64118.88,0.00463517,297.2019,51.07,,,0.0044,0.0047,,,0.0049,519.3,8.9,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-240000-P,put,240000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64692.92,2.70986892,175309.3333,74.74,,,2.585,2.846,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25JUN26-60000-C,call,60000.0,2026-06-25T08:00:00+00:00,3.7818,64069.15,64069.15,0.0653339,4185.8874,48.6,,,0.032,0.0865,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-120000-C,call,120000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,0.0,0.0,95.91,,,,0.0001,,,0.0001,2814.7,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-64000-C,call,64000.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.01353729,867.3227,37.68,,,0.013,0.014,,,0.012,9.4,9.5,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-90000-C,call,90000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.49,0.04743793,3133.8203,42.13,,,0.0465,0.0485,,,0.0475,381.4,0.1,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-3JUL26-69000-C,call,69000.0,2026-07-03T08:00:00+00:00,11.7818,64069.15,64097.61,0.00343324,220.0625,33.79,,,0.003,0.0035,,,0.0031,243.5,48.9,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-95000-P,put,95000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64692.92,0.47149966,30502.6898,40.27,,,0.4625,0.4815,,,0.4405,152.2,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-86000-C,call,86000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.55,0.03098703,2025.2983,40.79,,,0.03,0.0315,,,0.0315,198.7,0.2,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-10JUL26-62000-C,call,62000.0,2026-07-10T08:00:00+00:00,18.7818,64069.15,64118.88,0.05407004,3466.9104,39.45,,,0.0515,0.0565,,,0.0465,3.4,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-50000-P,put,50000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.00552133,354.7134,53.64,,,0.0055,0.006,,,0.006,1944.6,5.8,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-160000-P,put,160000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.77,1.42622177,94218.7345,48.42,,,1.342,1.5265,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-74000-C,call,74000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.63,0.06896033,4507.2217,40.96,,,0.068,0.07,,,0.0755,34.3,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-40000-P,put,40000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,4.62e-06,0.2959,115.26,,,,0.0001,,,0.0001,3258.6,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-73000-P,put,73000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.14458112,9288.4984,34.94,,,0.1405,0.1505,,,0.162,97.8,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-67000-C,call,67000.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.00131838,84.4675,37.63,,,0.0012,0.0015,,,0.001,31.6,1.6,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-58000-P,put,58000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64692.92,0.04014893,2597.3515,42.27,,,0.0395,0.0405,,,0.0465,619.4,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-23JUN26-62000-C,call,62000.0,2026-06-23T08:00:00+00:00,1.7818,64069.15,64069.15,0.03434195,2200.2595,44.09,,,0.0305,0.037,,,0.02,33.2,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-54000-C,call,54000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.63,0.22536908,14730.0397,45.93,,,0.223,0.228,,,0.221,33.1,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-300000-P,put,300000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,3.68386561,235949.8241,125.23,,,3.526,3.8535,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-200000-C,call,200000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.63,0.00072009,47.0648,57.63,,,0.0005,0.001,,,0.0007,948.4,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-62000-P,put,62000.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.00395425,253.3454,43.09,,,0.0037,0.0042,,,0.0032,10.9,11.1,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-22JUN26-69000-C,call,69000.0,2026-06-22T08:00:00+00:00,0.7818,64069.15,64069.15,2.34e-06,0.1499,47.76,,,,0.0001,,,0.0001,2.8,1.5,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-65500-P,put,65500.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.02718441,1741.682,36.5,,,0.0042,0.0305,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-46000-P,put,46000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.00325529,209.1335,60.37,,,0.0031,0.0035,,,0.0034,501.6,1.1,,,,,,1.0,0.0001
